Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Thu, Aug 23",Regis,4,-,San Bernardino,1.0,0,3,0
"Fri, Aug 24",Seattle Pacific,4,20,San Bernardino,0.0,0,2,3
"Sat, Aug 25",Southwest Minnesota State,4,25,San Bernardino,0.0,0,2,3
"Sat, Aug 25",Ft. Lewis,4,-,San Bernardino,1.0,0,3,1
"Thu, Aug 30",Chaminade,4,-,"Honolulu, HI",1.0,0,3,0
"Fri, Aug 31",Northwest Nazarene,4,-,"Honolulu, HI",1.0,0,3,0
"Fri, Aug 31",Hawai'i Pacific,4,-,"Honolulu, HI",1.0,0,3,0
"Sat, Sep 01",BYU-Hawai'i,4,19,"Honolulu, HI",1.0,0,3,0
"Fri, Sep 07",Cal State Dominguez Hills*,9,-,Carson,1.0,1,3,0
"Sat, Sep 08",Cal State L.A.*,9,20,UC San Diego,0.0,1,1,3
"Fri, Sep 14",Chico State*,16,22,Chico,0.0,1,1,3
"Sat, Sep 15",Cal State Stanislaus*,16,-,Turlock,1.0,1,3,0
"Fri, Sep 21",Cal State San Bernardino*,21,2,UC San Diego,0.0,1,0,3
"Sat, Sep 22",Cal Poly Pomona*,21,-,UC San Diego,1.0,1,3,0
"Sat, Sep 29",Humboldt State*,20,-,UC San Diego,1.0,1,3,0
"Fri, Oct 05",Cal State Monterey Bay*,21,-,Monterey,1.0,1,3,0
"Sat, Oct 06",Sonoma State*,21,-,Sonoma,0.0,1,1,3
"Wed, Oct 10",Cal State L.A.*,23,19,Los Angeles,1.0,1,3,2
"Sat, Oct 13",Cal State Dominguez Hills*,23,-,UC San Diego,1.0,1,3,0
"Fri, Oct 19",Cal State Stanislaus*,20,-,UC San Diego,1.0,1,3,0
"Sat, Oct 20",Chico State*,20,19,UC San Diego,1.0,1,3,0
"Fri, Oct 26",Cal Poly Pomona*,20,-,Pomona,0.0,1,2,3
"Sat, Oct 27",Cal State San Bernardino*,20,2,San Bernardino,1.0,1,3,2
"Fri, Nov 02",Humboldt State*,19,-,Arcata,1.0,1,3,2
"Fri, Nov 09",Sonoma State*,20,-,UC San Diego,1.0,1,3,2
"Sat, Nov 10",Cal State Monterey Bay*,20,-,UC San Diego,1.0,1,3,0
"Thu, Nov 15",Northwest Nazarene,21,-,San Bernardino,1.0,0,3,2
"Fri, Nov 16",Western Washington,21,24,San Bernardino,0.0,0,2,3
