Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Sun, Feb 01",Western Oregon,15,-,UC San Diego,4 - 0 (W) STATS NOTES,1.0,0
"Sun, Feb 01",Western Oregon,15,-,UC San Diego,8 - 3 (W) (7) STATS NOTES,1.0,0
"Mon, Feb 02",Western Oregon,15,-,UC San Diego,12 - 5 (W) STATS NOTES,1.0,0
"Tue, Feb 03",Western Oregon,15,-,UC San Diego,5 - 1 (W) STATS NOTES,1.0,0
"Fri, Feb 06",Colorado Mesa,15,5,UC San Diego,0 - 2 (L) STATS NOTES,0.0,0
"Sat, Feb 07",Colorado Mesa,15,5,UC San Diego,0 - 2 (L) STATS NOTES,0.0,0
"Fri, Feb 13",SF State *,15,-,UC San Diego,8 - 0 (W) STATS NOTES,1.0,1
"Sat, Feb 14",SF State *,15,-,UC San Diego,12 - 4 (W) STATS NOTES,1.0,1
"Sat, Feb 14",SF State *,15,-,UC San Diego,2 - 1 (W) (7) STATS NOTES,1.0,1
"Sun, Feb 15",SF State *,15,-,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Tue, Feb 17",Point Loma,10,-,UC San Diego,8 - 9 (L) STATS NOTES,0.0,0
"Thu, Feb 19",Cal State Dominguez Hills *,10,-,Carson,12 - 0 (W) STATS NOTES,1.0,1
"Fri, Feb 20",Cal State Dominguez Hills *,10,-,Carson,2 - 0 (W) STATS NOTES,1.0,1
"Sat, Feb 21",Cal State Dominguez Hills *,10,-,UC San Diego,19 - 0 (W) STATS NOTES,1.0,1
"Sat, Feb 21",Cal State Dominguez Hills *,10,-,UC San Diego,1 - 3 (L) (7) STATS NOTES,0.0,1
"Tue, Feb 24",Azusa Pacific,17,22,Azusa,2 - 6 (L) STATS NOTES,0.0,0
"Fri, Feb 27",Cal State East Bay *,17,-,Hayward,5 - 0 (W) STATS NOTES,1.0,1
"Sat, Feb 28",Cal State East Bay *,17,-,Hayward,9 - 3 (W) STATS NOTES,1.0,1
"Sun, Mar 01",Cal State East Bay *,17,-,Hayward,10 - 21 (L) STATS NOTES,0.0,1
"Sun, Mar 01",Cal State East Bay *,17,-,Hayward,10 - 2 (W) (7) STATS NOTES,1.0,1
"Fri, Mar 06",Chico State *,28,20,UC San Diego,6 - 0 (W) STATS NOTES,1.0,1
"Sat, Mar 07",Chico State *,28,20,UC San Diego,10 - 7 (W) STATS NOTES,1.0,1
"Sat, Mar 07",Chico State *,28,20,UC San Diego,4 - 3 (W) (7) STATS NOTES,1.0,1
