Date,Opponent,UCSD Rank,Opp Rank,Location,Time (PST),Results,Won,Conference
"Sat, Jan 23",San Diego Christian (exhibition),26,-,UC San Diego,11:00 a.m.,8 - 6 STATS NOTES,,0
"Tue, Jan 26",San Diego Christian (exhibition),26,-,UC San Diego,6:00 p.m.,10 - 1 STATS NOTES,,0
"Sat, Feb 06",The Master's College,26,10,UC San Diego,2:00 p.m.,3 - 2 (W) STATS NOTES,1.0,0
"Sat, Feb 06",The Master's College,26,10,UC San Diego,5:30 p.m.,4 - 3 (W) (10) STATS NOTES,1.0,0
"Thu, Feb 11",UT-Permian Basin,26,-,UC San Diego,6:00 p.m.,7 - 6 (W) STATS NOTES,1.0,0
"Fri, Feb 12",UT-Permian Basin,26,-,UC San Diego,2:00 p.m.,8 - 1 (W) STATS NOTES,1.0,0
"Fri, Feb 12",UT-Permian Basin,26,-,UC San Diego,5:30 p.m.,5 - 3 (W) (7) STATS NOTES,1.0,0
"Sat, Feb 13",Cal State San Bernardino,26,-,UC San Diego,2:00 p.m.,2 - 8 (L) STATS NOTES,0.0,0
"Sat, Feb 13",Cal State San Bernardino,26,-,UC San Diego,5:30 p.m.,9 - 1 (W) (7) STATS NOTES,1.0,0
"Sun, Feb 14",Cal Poly Pomona,26,10,UC San Diego,2:00 p.m.,6 - 2 (W) STATS NOTES,1.0,0
"Fri, Feb 19",Concordia Irvine,16,-,UC San Diego,6:00 p.m.,0 - 5 (L) STATS NOTES,0.0,0
"Sat, Feb 20",Concordia Irvine,16,-,UC San Diego,2:00 p.m.,7 - 2 (W) STATS NOTES,1.0,0
"Sat, Feb 20",Concordia Irvine,16,-,UC San Diego,5:30 p.m.,3 - 2 (W) (7) STATS NOTES,1.0,0
"Sun, Feb 21",Concordia Irvine,16,-,UC San Diego,12:00 p.m.,6 - 2 (W) STATS NOTES,1.0,0
"Fri, Feb 26",Cal State San Bernardino *,11,-,UC San Diego,6:00 p.m.,9 - 4 (W) STATS NOTES,1.0,1
"Sat, Feb 27",Cal State San Bernardino *,11,-,San Bernardino,11:00 a.m.,20 - 4 (W) STATS NOTES,1.0,1
"Sat, Feb 27",Cal State San Bernardino *,11,-,San Bernardino,2:30 p.m.,5 - 3 (W) (7) STATS NOTES,1.0,1
"Sun, Feb 28",Cal State San Bernardino *,11,-,UC San Diego,1:00 p.m.,16 - 5 (W) STATS NOTES,1.0,1
"Thu, Mar 03",Cal State LA *,5,-,Los Angeles,6:00 p.m.,2 - 3 (L) (11) STATS NOTES,0.0,1
"Fri, Mar 04",Cal State LA *,5,-,UC San Diego,6:00 p.m.,7 - 3 (W) STATS NOTES,1.0,1
"Sat, Mar 05",Cal State LA *,5,-,UC San Diego,2:00 p.m.,1 - 9 (L) STATS NOTES,0.0,1
"Sun, Mar 06",Cal State LA *,5,-,Los Angeles,2:00 p.m.,6 - 5 (W) (7) STATS NOTES,1.0,1
"Thu, Mar 10",Cal State Dominguez Hills *,8,-,UC San Diego,6:00 p.m.,2 - 9 (L) STATS NOTES,0.0,1
"Fri, Mar 11",Cal State Dominguez Hills *,8,-,UC San Diego,12:00 p.m.,8 - 9 (L) (11) STATS NOTES,0.0,1
"Sun, Mar 13",Cal State Dominguez Hills *,8,-,Carson,11:00 a.m.,14 - 4 (W) STATS NOTES,1.0,1
"Sun, Mar 13",Cal State Dominguez Hills *,8,-,Carson,2:30 p.m.,0 - 2 (L) (7) STATS NOTES,0.0,1
"Sat, Mar 19",Cal Poly Pomona *,23,24,Pomona,6:00 p.m.,6 - 3 (W) STATS NOTES,1.0,1
"Sun, Mar 20",Cal Poly Pomona *,23,24,UC San Diego,2:00 p.m.,3 - 0 (W) STATS NOTES,1.0,1
"Sun, Mar 20",Cal Poly Pomona *,23,24,UC San Diego,5:30 p.m.,2 - 1 (W) (7) STATS NOTES,1.0,1
"Mon, Mar 21",Cal Poly Pomona *,23,-,Pomona,6:00 p.m.,2 - 3 (L) STATS NOTES,0.0,1
"Fri, Mar 25",Chico State *,23,27,Chico,6:00 p.m.,0 - 7 (L) STATS NOTES,0.0,1
