Date,Opponent,Location,Won,Conference,UCSD Score,Opp Score
"Sat, Nov 14",San Diego State (Ex.),San Diego,0.0,0,52,77
"Fri, Nov 20",Western State,"Pueblo, CO",0.0,0,63,71
"Sat, Nov 21",Colorado State-Pueblo,"Pueblo, CO",0.0,0,43,61
"Fri, Dec 04",Cal State San Bernardino *,San Bernardino,0.0,1,57,73
"Sat, Dec 05",Cal Poly Pomona *,Pomona,0.0,1,46,68
"Tue, Dec 15",Cal State East Bay *,Hayward,1.0,1,70,50
"Tue, Dec 22",San Diego Christian College,UC San Diego,1.0,0,64,49
"Sat, Jan 02",Cal State L.A. *,Los Angeles,0.0,1,53,62
"Sun, Jan 03",Cal State Dominguez Hills *,Carson,0.0,1,55,67
"Thu, Jan 07",Chico State *,UC San Diego,0.0,1,68,77
"Sat, Jan 09",Cal State Stanislaus *,UC San Diego,1.0,1,81,72
"Thu, Jan 14",Cal State Monterey Bay *,UC San Diego,0.0,1,62,66
"Sat, Jan 16",San Francisco State *,UC San Diego,1.0,1,91,86
"Thu, Jan 21",Humboldt State *,Arcata,0.0,1,60,74
"Sat, Jan 23",Sonoma State *,Sonoma,0.0,1,66,78
"Thu, Jan 28",Cal Poly Pomona *,UC San Diego,0.0,1,49,59
"Sat, Jan 30",Cal State San Bernardino *,UC San Diego,0.0,1,67,76
"Thu, Feb 04",Cal State Dominguez Hills *,UC San Diego,0.0,1,58,68
"Sat, Feb 06",Cal State L.A. *,UC San Diego,1.0,1,83,77
"Fri, Feb 12",Cal State Stanislaus *,Turlock,1.0,1,56,48
"Sat, Feb 13",Chico State *,Chico,0.0,1,42,58
"Tue, Feb 16",Cal State East Bay *,UC San Diego,1.0,1,67,48
"Fri, Feb 19",San Francisco State *,San Francisco,0.0,1,50,61
"Sat, Feb 20",Cal State Monterey Bay *,Monterey,1.0,1,78,74
"Wed, Feb 24",Sonoma State *,UC San Diego,0.0,1,57,70
"Fri, Feb 26",Humboldt State *,UC San Diego,0.0,1,79,87
