Date,Opponent,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Mon, Nov 05",San Diego State (exhibition),20,San Diego,,0,56,80
"Fri, Nov 09",Dixie State,RV,"St. George, UT",0.0,0,67,71
"Sat, Nov 10",Fresno Pacific,-,"St. George, UT",1.0,0,83,74
"Sat, Nov 17",Grand Canyon,RV,UC San Diego,0.0,0,52,65
"Sat, Nov 24",Cal State San Bernardino *,-,San Bernardino,0.0,1,82,90
"Fri, Nov 30",Cal State L.A. *,-,UC San Diego,0.0,1,54,61
"Sat, Dec 01",Cal State Dominguez Hills *,-,UC San Diego,0.0,1,57,58
"Sun, Dec 30",Cal State San Bernardino *,-,UC San Diego,0.0,1,58,73
"Thu, Jan 03",Cal Poly Pomona *,6,Pomona,0.0,1,51,52
"Sat, Jan 05",Humboldt State *,-,Arcata,1.0,1,72,69
"Fri, Jan 11",Chico State *,-,UC San Diego,1.0,1,65,62
"Sat, Jan 12",Cal State Stanislaus *,-,UC San Diego,0.0,1,67,77
"Fri, Jan 18",Cal State Monterey Bay *,-,Seaside,1.0,1,63,58
"Sat, Jan 19",Cal State East Bay *,-,Hayward,1.0,1,69,60
"Fri, Jan 25",San Francisco State *,-,San Francisco,0.0,1,55,70
"Sat, Jan 26",Sonoma State *,-,Rohnert Park,1.0,1,85,65
"Fri, Feb 01",Cal State Dominguez Hills *,-,Carson,1.0,1,69,62
"Sat, Feb 02",Cal State L.A. *,-,Los Angeles,1.0,1,50,34
"Fri, Feb 08",Humboldt State *,-,UC San Diego,1.0,1,71,60
"Sat, Feb 09",Cal Poly Pomona *,4,UC San Diego,0.0,1,50,73
"Fri, Feb 15",Cal State Stanislaus *,-,Turlock,0.0,1,57,72
"Sat, Feb 16",Chico State *,-,Chico,0.0,1,61,64
"Fri, Feb 22",Cal State East Bay *,-,UC San Diego,0.0,1,49,72
"Sat, Feb 23",Cal State Monterey Bay *,-,UC San Diego,1.0,1,82,67
"Thu, Feb 28",Sonoma State *,-,UC San Diego,0.0,1,57,68
"Fri, Mar 01",San Francisco State *,-,UC San Diego,1.0,1,83,70
"Tue, Mar 05",Cal State San Bernardino (First Round),-,San Bernardino,0.0,0,99,102
