Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Thu, Sep 04",Hawaii Pacific,11,-,"Ellensburg, WA",1.0,0,3,2
"Thu, Sep 04",Central Washington,11,RV,"Ellensburg, WA",0.0,0,1,3
"Fri, Sep 05",Saint Martin's,11,-,"Ellensburg, WA",1.0,0,3,0
"Fri, Sep 05",Western Washington,11,12,"Ellensburg, WA",0.0,0,1,3
"Fri, Sep 12",Cal State Stanislaus *,14,-,UC San Diego,1.0,1,3,1
"Sat, Sep 13",Chico State *,14,-,UC San Diego,1.0,1,3,1
"Wed, Sep 17",Cal Poly Pomona *,13,-,UC San Diego,1.0,1,3,2
"Fri, Sep 19",Cal State L.A. *,13,RV,UC San Diego,0.0,1,1,3
"Sat, Sep 20",Cal State Dominguez Hills *,13,-,UC San Diego,1.0,1,3,1
"Fri, Sep 26",Sonoma State *,19,RV,Rohnert Park,0.0,1,1,3
"Sat, Sep 27",San Francisco State *,19,-,San Francisco,1.0,1,3,1
"Thu, Oct 02",Humboldt State *,RV,-,Arcata,1.0,1,3,2
"Sat, Oct 04",Cal State San Bernardino *,RV,8,San Bernardino,0.0,1,2,3
"Fri, Oct 10",Cal State Monterey Bay (Reis Cup) *,RV,-,UC San Diego,1.0,1,3,0
"Sat, Oct 11",Cal State East Bay *,RV,-,UC San Diego,1.0,1,3,0
"Fri, Oct 17",Chico State *,RV,-,Chico,0.0,1,1,3
"Sat, Oct 18",Cal State Stanislaus *,RV,-,Turlock,1.0,1,3,0
"Fri, Oct 24",Cal State Dominguez Hills *,RV,-,Carson,1.0,1,3,0
"Sat, Oct 25",Cal State L.A. *,RV,-,Los Angeles,0.0,1,1,3
"Fri, Oct 31",San Francisco State *,RV,-,UC San Diego,0.0,1,2,3
"Sat, Nov 01",Sonoma State *,RV,RV,UC San Diego,0.0,1,0,3
"Wed, Nov 05",Cal Poly Pomona *,-,-,Pomona,0.0,1,1,3
"Fri, Nov 07",Cal State San Bernardino *,-,18,UC San Diego,0.0,1,1,3
"Sat, Nov 08",Humboldt State *,-,-,UC San Diego,1.0,1,3,1
"Fri, Nov 14",Cal State East Bay *,-,-,Hayward,0.0,1,1,3
"Sat, Nov 15",Cal State Monterey Bay *,-,-,Seaside,1.0,1,3,0
