Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Aug 28",Hawaii-Hilo,-,-,UC San Diego,2 - 0 (W) STATS,1.0,0
"Sat, Aug 30",Concordia,-,-,UC San Diego,2 - 0 (W) STATS,1.0,0
"Fri, Sep 05",Cal State San Marcos,-,-,UC San Diego,2 - 1 (W) STATS,1.0,0
"Fri, Sep 12",San Francisco State *,RV,-,San Francisco,1 - 0 (W) STATS,1.0,1
"Sun, Sep 14",Cal State Monterey Bay *,RV,-,Monterey,2 - 1 (W) STATS,1.0,1
"Wed, Sep 17",Cal State Dominguez Hills *,RV,4,UC San Diego,0 - 0 (T) 2OT STATS NOTES,,1
"Fri, Sep 19",Cal State L.A. *,RV,-,Los Angeles,0 - 1 (L) STATS,0.0,1
"Fri, Sep 26",Cal Poly Pomona *,-,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sun, Sep 28",Cal State San Bernardino *,-,-,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Oct 03",Sonoma State *,-,4,UC San Diego,0 - 4 (L) STATS,0.0,1
"Sun, Oct 05",Humboldt State *,-,-,UC San Diego,0 - 0 (T) 2OT STATS,,1
"Fri, Oct 10",Cal State Stanislaus *,-,-,Turlock,0 - 1 (L) STATS,0.0,1
"Sun, Oct 12",Chico State *,-,-,Chico,2 - 0 (W) STATS,1.0,1
"Wed, Oct 15",Cal State Dominguez Hills *,-,10,Carson,0 - 2 (L) STATS,0.0,1
"Sun, Oct 19",Cal State L.A. *,-,4,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sat, Oct 25",Seattle Pacific,-,-,UC San Diego,5 - 0 (W) STATS,1.0,0
"Fri, Oct 31",Cal State San Bernardino *,-,-,San Bernardino,1 - 2 (L) STATS,0.0,1
"Sun, Nov 02",Cal Poly Pomona *,-,-,Pomona,4 - 0 (W) STATS,1.0,1
