Date,Opponent,Location,Results,Won,Conference
"Thu, Aug 30",Cal Baptist,UC San Diego,0 - 2 (L) STATS,0.0,0
"Sat, Sep 01",Academy of Art,UC San Diego,2 - 0 (W) STATS,1.0,0
"Fri, Sep 07",San Francisco State *,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Sep 09",Cal Poly Pomona *,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Sep 14",Cal State L.A. *,Los Angeles,0 - 1 (L) 2OT STATS,0.0,1
"Sun, Sep 16",Cal State San Bernardino *,San Bernardino,1 - 1 (T) 2OT STATS,,1
"Fri, Sep 21",Cal Poly Pomona *,Pomona,1 - 0 (W) STATS,1.0,1
"Sun, Sep 23",San Francisco State *,San Francisco,0 - 0 (T) 2OT STATS,,1
"Fri, Sep 28",Cal State Dominguez Hills *,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Sep 30",Cal State San Bernardino *,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Oct 05",Sonoma State *,Rohnert Park,2 - 0 (W) STATS,1.0,1
"Fri, Oct 12",Cal State L.A. *,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sun, Oct 14",Cal State Dominguez Hills *,Carson,0 - 3 (L) STATS,0.0,1
"Fri, Oct 19",Cal State Stanislaus *,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Oct 21",Chico State *,UC San Diego,0 - 0 (T) 2OT STATS,,1
"Fri, Oct 26",Cal State East Bay *,Hayward,0 - 0 (T) 2OT STATS,,1
"Sun, Oct 28",Cal State Monterey Bay *,Seaside,5 - 0 (W) STATS,1.0,1
