Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 03",Saint Martin's,-,"Lacey, WA",1 - 1 (T) 2OT STATS NOTES,,0
"Sat, Sep 05",Western Washington,-,"Bellingham, WA",0 - 2 (L) STATS NOTES,0.0,0
"Tue, Sep 08",Concordia Irvine,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,0
"Thu, Sep 10",Azusa Pacific,-,Azusa,1 - 1 (T) 2OT STATS NOTES,,0
"Sat, Sep 12",California Baptist,-,Riverside,0 - 3 (L) STATS NOTES,0.0,0
"Tue, Sep 15",Point Loma,-,UC San Diego,Canceled - Rain NOTES,,0
"Fri, Sep 18",Cal Poly Pomona *,RV,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Sep 20",Cal State San Bernardino *,-,UC San Diego,0 - 0 (T) 2OT STATS NOTES,,1
"Fri, Sep 25",Cal State East Bay *,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Sep 27",Stanislaus State *,RV,UC San Diego,1 - 2 (L) STATS NOTES,0.0,1
"Fri, Oct 02",Cal State Dominguez Hills *,14,Carson,0 - 1 (L) STATS NOTES,0.0,1
"Sun, Oct 04",Cal State L.A. *,-,Los Angeles,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 09",Cal State Monterey Bay *,-,UC San Diego,3 - 2 (W) STATS NOTES,1.0,1
"Sun, Oct 11",SF State *,-,UC San Diego,0 - 0 (T) 2OT STATS NOTES,,1
"Fri, Oct 16",Humboldt State *,-,Arcata,2 - 2 (T) 2OT STATS NOTES,,1
"Sun, Oct 18",Sonoma State *,-,Rohnert Park,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Oct 21",Cal State San Marcos *,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 23",Chico State *,-,Chico,1 - 1 (T) 2OT STATS NOTES,,1
"Tue, Nov 03",Cal State L.A. (First Round),-,Los Angeles,1 - 3 (L) STATS NOTES,0.0,0
