Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 05",Seattle Pacific,3,21,UC San Diego,2 - 1 (W) STATS NOTES,1.0,0
"Sat, Sep 07",Western Washington,3,12,UC San Diego,0 - 1 (L) STATS NOTES,0.0,0
"Fri, Sep 13",Cal State Dominguez Hills *,20,-,Carson,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Sep 15",Cal State L.A. *,20,-,Los Angeles,3 - 1 (W) STATS NOTES,1.0,1
"Fri, Sep 20",Chico State *,23,-,Chico,2 - 2 (T) 2OT STATS NOTES,,1
"Sun, Sep 22",Cal State San Bernardino *,23,-,San Bernardino,1 - 1 (T) 2OT STATS NOTES,,1
"Fri, Sep 27",Humboldt State *,RV,-,UC San Diego,0 - 0 (T) 2OT STATS NOTES,,1
"Sun, Sep 29",Sonoma State *,RV,16,UC San Diego,2 - 3 (L) STATS NOTES,0.0,1
"Fri, Oct 04",Cal State Stanislaus *,-,9,Turlock,1 - 4 (L) STATS NOTES,0.0,1
"Sun, Oct 06",Cal State East Bay *,-,-,Hayward,1 - 2 (L) OT STATS NOTES,0.0,1
"Fri, Oct 11",Cal State San Bernardino *,-,25,UC San Diego,2 - 1 (W) STATS NOTES,1.0,1
"Sun, Oct 13",Chico State *,-,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 18",Cal State Dominguez Hills *,-,-,UC San Diego,0 - 2 (L) STATS NOTES,0.0,1
"Sun, Oct 20",Cal Poly Pomona *,-,-,UC San Diego,2 - 2 (T) 2OT STATS NOTES,,1
"Fri, Oct 25",San Francisco State *,-,-,UC San Diego,1 - 1 (T) 2OT STATS NOTES,,1
"Sun, Oct 27",Cal State Monterey Bay *,-,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Nov 01",Cal Poly Pomona *,-,-,Pomona,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Nov 03",Cal State L.A. *,-,-,UC San Diego,0 - 1 (L) 2OT STATS NOTES,0.0,1
