Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 03",Concordia Irvine,-,UC San Diego,2 - 1 (W) OT STATS NOTES,1.0,0
"Sat, Sep 05",Point Loma,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,0
"Thu, Sep 10",Azusa Pacific,-,Azusa,0 - 1 (L) STATS NOTES,0.0,0
"Sat, Sep 12",California Baptist,-,Riverside,1 - 0 (W) STATS NOTES,1.0,0
"Mon, Sep 14",Cal State L.A.,14,UC San Diego,2 - 1 (W) STATS NOTES,1.0,0
"Fri, Sep 18",Cal Poly Pomona *,-,UC San Diego,2 - 3 (L) OT STATS NOTES,0.0,1
"Sun, Sep 20",Cal State San Bernardino *,-,UC San Diego,2 - 3 (L) OT STATS NOTES,0.0,1
"Fri, Sep 25",Cal State East Bay *,-,UC San Diego,3 - 1 (W) STATS NOTES,1.0,1
"Sun, Sep 27",Stanislaus State *,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 02",Cal State Dominguez Hills *,-,Carson,4 - 2 (W) STATS NOTES,1.0,1
"Sun, Oct 04",Cal State L.A. *,-,Los Angeles,0 - 1 (L) STATS NOTES,0.0,1
"Fri, Oct 09",Cal State Monterey Bay *,-,UC San Diego,1 - 1 (T) 2OT STATS NOTES,,1
"Sun, Oct 11",SF State *,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 16",Humboldt State *,-,Arcata,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 18",Sonoma State *,11,Rohnert Park,0 - 1 (L) STATS NOTES,0.0,1
"Wed, Oct 21",Cal State San Marcos *,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 23",Chico State *,-,Chico,4 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 30",Cal State San Marcos,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,0
"Wed, Nov 04",Cal Poly Pomona (First Round),-,UC San Diego,4 - 1 (W) STATS NOTES,1.0,0
"Fri, Nov 06",Sonoma State (Semifinals),10,Pomona (Kellogg Field),3 - 0 (W) STATS NOTES,1.0,0
"Sun, Nov 08",Stanislaus State (Final),-,Pomona (Kellogg Field),3 - 2 (W) STATS NOTES,1.0,0
"Thu, Nov 12",Seattle Pacific (First Round),-,"Bellingham, WA",1 - 2 (L) STATS NOTES,0.0,0
