Date,Opponent,Location,Time (PST),Results,Won,Conference
"Thu, Sep 01",Azusa Pacific,UC San Diego,7:00 p.m.,,,0
"Tue, Sep 06",Point Loma,San Diego,4:30 p.m.,,,0
"Fri, Sep 09",Regis,UC San Diego,7:00 p.m.,,,0
"Sun, Sep 11",Colorado School of Mines,UC San Diego,11:30 a.m.,,,0
"Wed, Sep 14",Western Washington,"Bellingham, WA",7:00 p.m.,,,0
"Fri, Sep 16",Central Washington,"Ellensburg, WA",3:00 p.m.,,,0
"Wed, Sep 21",Cal State San Marcos *,San Marcos,12:30 p.m.,,,1
"Sun, Sep 25",Chico State *,UC San Diego,11:30 a.m.,,,1
"Fri, Sep 30",Sonoma State *,UC San Diego,7:00 p.m.,,,1
"Sun, Oct 02",Humboldt State *,UC San Diego,2:00 p.m.,,,1
"Fri, Oct 07",SF State *,San Francisco,12:30 p.m.,,,1
"Sun, Oct 09",Cal State Monterey Bay *,Seaside,11:30 a.m.,,,1
"Fri, Oct 14",Cal State LA *,UC San Diego,4:30 p.m.,,,1
"Sun, Oct 16",Cal State Dominguez Hills *,UC San Diego,11:30 a.m.,,,1
"Fri, Oct 21",Stanislaus State *,Turlock,7:00 p.m.,,,1
"Sun, Oct 23",Cal State East Bay *,Hayward,2:00 p.m.,,,1
"Thu, Oct 27",Cal State San Bernardino *,San Bernardino,3:00 p.m.,,,1
"Sat, Oct 29",Cal Poly Pomona *,Pomona,3:00 p.m.,,,1
"Tue, Nov 01",First Round,TBD,TBA,,,0
"Fri, Nov 04",Semifinals,TBD,TBA,,,0
"Sun, Nov 06",Final,TBD,TBA,,,0
"Thu, Nov 10 - Sun, Nov 13",First/Second Rounds,TBD,TBA,,,0
"Thu, Nov 17 - Sun, Nov 20",Third Round/Quarterfinal,TBD,TBA,,,0
"Thu, Dec 01",Semifinals,"Kansas City, MO",TBA,,,0
"Sat, Dec 03",Final,"Kansas City, MO",TBA,,,0
