Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Fri, Feb 02",Humboldt State,4,Turlock,0 - 1 (L) STATS,0.0,0
"Fri, Feb 02",Grand Canyon,-,Turlock,4 - 2 (W) STATS,1.0,0
"Sat, Feb 03",Notre Dame de Namur,-,Turlock,6 - 9 (L) STATS,0.0,0
"Sat, Feb 03",CSU Monterey Bay,-,Turlock,0 - 1 (L) STATS,0.0,0
"Sun, Feb 04",Cal State Dominguez Hills,-,Turlock,1 - 0 (W) STATS,1.0,0
"Sun, Feb 04",Chico State,-,Turlock,1 - 8 (L) STATS,0.0,0
"Fri, Feb 09",San Francisco State* *,25,UC San Diego,6 - 3 (W) STATS,1.0,1
"Fri, Feb 09",San Francisco State* *,25,UC San Diego,3 - 8 (L) STATS,0.0,1
"Sat, Feb 10",San Francisco State* *,25,UC San Diego,10 - 2 (W) STATS,1.0,1
"Sat, Feb 10",San Francisco State* *,25,UC San Diego,5 - 4 (W) STATS,1.0,1
"Thu, Feb 15",Southeast Oklahoma State,-,"Phoenix, Ariz.",0 - 4 (L) STATS,0.0,0
"Thu, Feb 15",Dixie State,-,"Phoenix, Ariz.",1 - 5 (L) STATS,0.0,0
"Fri, Feb 16",Western Oregon,-,"Phoenix, Ariz.",3 - 1 (W) STATS,1.0,0
"Fri, Feb 16",Texas Woman's University,-,"Phoenix, Ariz.",5 - 2 (W) STATS,1.0,0
"Fri, Feb 16",CSU Monterey Bay,-,"Phoenix, Ariz.",7 - 3 (W) STATS,1.0,0
"Sat, Feb 17",Hawaii-Hilo,-,"Phoenix, Ariz.",2 - 6 (L) STATS,0.0,0
"Fri, Feb 23",Sonoma State* *,-,Rohnert Park,2 - 1 (W) STATS,1.0,1
"Fri, Feb 23",Sonoma State* *,-,Rohnert Park,2 - 3 (L) STATS,0.0,1
"Sat, Feb 24",Sonoma State* *,-,Rohnert Park,9 - 6 (W) STATS,1.0,1
"Sat, Feb 24",Sonoma State* *,-,Rohnert Park,3 - 5 (L) STATS,0.0,1
"Wed, Feb 28",Point Loma Nazarene,-,UC San Diego,1 - 3 (L) STATS,0.0,0
"Wed, Feb 28",Point Loma Nazarene,-,UC San Diego,2 - 7 (L) STATS,0.0,0
