Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Feb 01",Davis and Elkins,-,-,Turlock,6 - 2 (W) STATS,1.0,0
"Fri, Feb 01",Humboldt State,-,6,Turlock,5 - 2 (W) STATS,1.0,0
"Sat, Feb 02",Cal State Dominguez Hills,-,-,Turlock,12 - 4 (W) STATS,1.0,0
"Sat, Feb 02",Cal State Stanislaus,-,10,Turlock,9 - 0 (W) STATS,1.0,0
"Sun, Feb 03",CSU Monterey Bay,-,-,Turlock,Cancelled - Rain,,0
"Sun, Feb 03",Grand Canyon,-,-,Turlock,Cancelled - Rain,,0
"Fri, Feb 08",Chico State *,-,-,UC San Diego,0 - 1 (L) STATS,0.0,1
"Fri, Feb 08",Chico State *,-,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Sat, Feb 09",Chico State *,-,-,UC San Diego,0 - 4 (L) 9 inn STATS,0.0,1
"Sat, Feb 09",Chico State *,-,-,UC San Diego,6 - 5 (W) 8 inn STATS,1.0,1
"Thu, Feb 14",Grand Canyon,-,-,"Phoenix, Ariz.",6 - 0 (W) STATS,1.0,0
"Thu, Feb 14",Missouri Western State,-,-,"Phoenix, Ariz.",7 - 4 (W) STATS,1.0,0
"Fri, Feb 15",New Mexico Highlands,-,-,"Phoenix, Ariz.",5 - 0 (W) STATS,1.0,0
"Fri, Feb 15",Eastern New Mexico,-,-,"Phoenix, Ariz.",1 - 0 (W) STATS,1.0,0
"Sat, Feb 16",Dixie State College,-,-,"Phoenix, Ariz.",1 - 0 (W) STATS,1.0,0
"Sat, Feb 16",Barry University,-,16,"Phoenix, Ariz.",0 - 6 (L) STATS,0.0,0
"Wed, Feb 20",University of San Diego,-,-,San Diego,1 - 4 (L) STATS,0.0,0
"Wed, Feb 20",University of San Diego,-,-,San Diego,6 - 5 (W) STATS,1.0,0
"Sat, Feb 23",Cal State Dominguez Hills *,-,-,UC San Diego,4 - 3 (W) STATS,1.0,1
"Sat, Feb 23",Cal State Dominguez Hills *,-,-,UC San Diego,5 - 3 (W) STATS,1.0,1
"Fri, Feb 29",Cal State San Bernardino *,-,-,San Bernardino,3 - 4 (L) STATS,0.0,1
"Fri, Feb 29",Cal State San Bernardino *,-,-,San Bernardino,1 - 10 (L) STATS,0.0,1
"Sat, Mar 01",Cal State San Bernardino *,-,-,San Bernardino,3 - 1 (W) STATS,1.0,1
"Sat, Mar 01",Cal State San Bernardino *,-,-,San Bernardino,4 - 12 (L) STATS,0.0,1
"Fri, Mar 07",Sonoma State *,19,-,UC San Diego,6 - 1 (W) STATS,1.0,1
"Fri, Mar 07",Sonoma State *,19,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sat, Mar 08",Sonoma State *,19,-,UC San Diego,5 - 1 (W) STATS,1.0,1
"Sat, Mar 08",Sonoma State *,19,-,UC San Diego,5 - 1 (W) STATS,1.0,1
"Fri, Mar 14",Cal State Stanislaus *,8,-,Turlock,0 - 4 (L) STATS,0.0,1
"Fri, Mar 14",Cal State Stanislaus *,8,-,Turlock,9 - 4 (W) STATS,1.0,1
"Sat, Mar 15",Cal State Stanislaus *,8,-,Turlock,3 - 4 (L) STATS,0.0,1
"Sat, Mar 15",Cal State Stanislaus *,8,-,Turlock,7 - 4 (W) STATS,1.0,1
"Tue, Mar 25",Point Loma,9,-,UC San Diego,0 - 4 (L) STATS,0.0,0
"Tue, Mar 25",Point Loma,9,-,UC San Diego,0 - 5 (L) 9 inn STATS,0.0,0
"Fri, Mar 28",Hawaii Pacific,10,-,Turlock,3 - 0 (W) STATS,1.0,0
"Fri, Mar 28",Chaminade,10,-,Turlock,7 - 1 (W) STATS,1.0,0
"Sat, Mar 29",Dixie State College,10,-,Turlock,1 - 0 (W) STATS,1.0,0
"Sat, Mar 29",Grand Canyon,10,-,Turlock,1 - 6 (L) STATS,0.0,0
"Sun, Mar 30",Western Oregon,10,-,Turlock,2 - 0 (W) STATS,1.0,0
"Sun, Mar 30",San Francisco State,10,-,Turlock,3 - 2 (W) STATS,1.0,0
"Fri, Apr 04",CSU Monterey Bay *,15,-,UC San Diego,6 - 0 (W) STATS,1.0,1
"Fri, Apr 04",CSU Monterey Bay *,15,-,UC San Diego,2 - 3 (L) STATS,0.0,1
"Sat, Apr 05",CSU Monterey Bay *,15,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Sat, Apr 05",CSU Monterey Bay *,15,-,UC San Diego,6 - 4 (W) STATS,1.0,1
"Fri, Apr 11",Humboldt State *,14,6,Arcata,0 - 1 (L) STATS,0.0,1
"Fri, Apr 11",Humboldt State *,14,6,Arcata,3 - 8 (L) STATS,0.0,1
"Sat, Apr 12",Humboldt State *,14,6,Arcata,0 - 2 (L) STATS,0.0,1
"Sat, Apr 12",Humboldt State *,14,6,Arcata,3 - 5 (L) STATS,0.0,1
"Fri, Apr 18",Cal State Dominguez Hills *,16,-,UC San Diego,4 - 6 (L) STATS,0.0,1
"Fri, Apr 18",Cal State Dominguez Hills *,16,-,UC San Diego,2 - 1 (W) STATS,1.0,1
"Sun, Apr 20",Cal State San Marcos,16,-,UC San Diego,1 - 0 (W) STATS,1.0,0
"Sun, Apr 20",Cal State San Marcos,16,-,UC San Diego,8 - 5 (W) STATS,1.0,0
"Fri, Apr 25",San Francisco State *,16,-,San Francisco,1 - 2 (L) STATS,0.0,1
"Fri, Apr 25",San Francisco State *,16,-,San Francisco,1 - 2 (L) STATS,0.0,1
"Sat, Apr 26",San Francisco State *,16,-,San Francisco,3 - 4 (L) STATS,0.0,1
"Sat, Apr 26",San Francisco State *,16,-,San Francisco,7 - 5 (W) STATS,1.0,1
