Date,Opponent,Location,Results,Won,Conference
"Sat, Feb 07",Cal State Monterey Bay,Turlock,3 - 0 (W) STATS,1.0,0
"Sat, Feb 07",Chico State,Turlock,6 - 1 (W) STATS,1.0,0
"Sun, Feb 08",Grand Canyon,Turlock,2 - 4 (L) STATS,0.0,0
"Sun, Feb 08",Cal State San Bernardino,Turlock,2 - 1 (W) STATS,1.0,0
"Fri, Feb 13",San Francisco State *,UC San Diego,6 - 4 (W) STATS,1.0,1
"Fri, Feb 13",San Francisco State *,UC San Diego,5 - 4 (W) STATS,1.0,1
"Sat, Feb 14",San Francisco State *,UC San Diego,8 - 9 (L) 10 STATS,0.0,1
"Sat, Feb 14",San Francisco State *,UC San Diego,5 - 4 (W) 9 STATS,1.0,1
"Sun, Feb 15",Regis University,San Bernardino,3 - 12 (L) STATS,0.0,0
"Sun, Feb 15",Adams State,San Bernardino,6 - 5 (W) STATS,1.0,0
"Sat, Feb 21",Grand Canyon,UC San Diego,5 - 4 (W) STATS,1.0,0
"Sat, Feb 21",Grand Canyon,UC San Diego,2 - 10 (L) STATS,0.0,0
"Sun, Feb 22",Hawaii Hilo,UC San Diego,2 - 1 (W) STATS,1.0,0
"Sun, Feb 22",Hawaii Hilo,UC San Diego,2 - 4 (L) STATS,0.0,0
"Fri, Feb 27",Humboldt State *,UC San Diego,4 - 3 (W) STATS,1.0,1
"Fri, Feb 27",Humboldt State *,UC San Diego,3 - 6 (L) STATS,0.0,1
"Sat, Feb 28",Humboldt State *,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sat, Feb 28",Humboldt State *,UC San Diego,1 - 10 (L) STATS,0.0,1
"Sat, Mar 07",Sonoma State *,Sonoma,9 - 1 (W) STATS,1.0,1
"Sat, Mar 07",Sonoma State *,Sonoma,1 - 2 (L) STATS,0.0,1
"Sat, Mar 07",Sonoma State *,Sonoma,5 - 0 (W) STATS,1.0,1
"Fri, Mar 13",Cal State Stanislaus *,UC San Diego,0 - 4 (L) STATS,0.0,1
"Fri, Mar 13",Cal State Stanislaus *,UC San Diego,6 - 5 (W) STATS,1.0,1
"Sat, Mar 14",Cal State Stanislaus *,UC San Diego,3 - 4 (L) 8 STATS,0.0,1
"Sat, Mar 14",Cal State Stanislaus *,UC San Diego,10 - 9 (W) 8 STATS,1.0,1
"Tue, Mar 24",University of San Diego,UC San Diego,4 - 6 (L) STATS,0.0,0
"Fri, Mar 27",Chico State *,Chico,3 - 1 (W) STATS,1.0,1
"Fri, Mar 27",Chico State *,Chico,6 - 3 (W) STATS,1.0,1
"Sat, Mar 28",Chico State *,Chico,2 - 1 (W) STATS,1.0,1
"Sat, Mar 28",Chico State *,Chico,4 - 2 (W) STATS,1.0,1
"Fri, Apr 03",Chaminade,Turlock,11 - 1 (W) STATS,1.0,0
"Fri, Apr 03",Dixie State,Turlock,0 - 5 (L) STATS,0.0,0
"Sat, Apr 04",Grand Canyon,Turlock,6 - 4 (W) STATS,1.0,0
"Sat, Apr 04",Notre Dame de Namur,Turlock,10 - 2 (W) STATS,1.0,0
"Sat, Apr 04",Hawaii Pacific,Turlock,3 - 12 (L) STATS,0.0,0
"Sun, Apr 05",Hawaii Hilo,Turlock,10 - 2 (W) STATS,1.0,0
"Wed, Apr 08",University of San Diego,UC San Diego,5 - 8 (L) STATS,0.0,0
"Fri, Apr 10",Cal State San Bernardino *,UC San Diego,7 - 6 (W) STATS,1.0,1
"Fri, Apr 10",Cal State San Bernardino *,UC San Diego,6 - 7 (L) STATS,0.0,1
"Sat, Apr 11",Cal State San Bernardino *,UC San Diego,1 - 8 (L) STATS,0.0,1
"Sat, Apr 11",Cal State San Bernardino *,UC San Diego,0 - 2 (L) STATS,0.0,1
"Fri, Apr 17",Cal State Dominguez Hills *,Carson,0 - 1 (L) STATS,0.0,1
"Fri, Apr 17",Cal State Dominguez Hills *,Carson,5 - 0 (W) STATS,1.0,1
"Sat, Apr 18",Cal State Dominguez Hills *,Carson,3 - 6 (L) STATS,0.0,1
"Sat, Apr 18",Cal State Dominguez Hills *,Carson,10 - 2 (W) STATS,1.0,1
"Fri, Apr 24",Cal State Monterey Bay *,Monterey,3 - 4 (L) STATS,0.0,1
"Fri, Apr 24",Cal State Monterey Bay *,Monterey,0 - 5 (L) STATS,0.0,1
"Sat, Apr 25",Cal State Monterey Bay *,Monterey,10 - 4 (W) STATS,1.0,1
"Sat, Apr 25",Cal State Monterey Bay *,Monterey Bay,4 - 1 (W) STATS,1.0,1
"Thu, Apr 30",Cal State Monterey Bay,Stockton,3 - 7 (L) STATS,0.0,0
"Fri, May 01",Humboldt State,Stockton,8 - 0 (W) STATS,1.0,0
"Fri, May 01",Sonoma State,Stockton,3 - 2 (W) STATS,1.0,0
"Sat, May 02",Cal State Monterey Bay,Stockton,Cancelled,,0
"Fri, May 08",Hawaii Pacific,"St. George, UT",1 - 2 (L) STATS,0.0,0
"Sat, May 09",Cal State Monterey Bay,"St. George, UT",2 - 1 (W) STATS,1.0,0
"Sat, May 09",Hawaii Pacific,"St. George, UT",3 - 4 (L) STATS,0.0,0
