Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Tue, Aug 31",Cal Baptist (Scrimmage),-,-,Riverside,,0,,
"Wed, Sep 01",Point Loma (Scrimmage),-,-,San Diego,,0,,
"Fri, Sep 03",Alaska Anchorage,8,24,"Monmouth, OR",1.0,0,3,2
"Fri, Sep 03",Central Washington,8,-,"Monmouth, OR",1.0,0,3,0
"Sat, Sep 04",Western Washington,8,-,"Monmouth, OR",0.0,0,1,3
"Sat, Sep 04",Western Oregon,8,-,"Monmouth, OR",1.0,0,3,0
"Fri, Sep 10",Humboldt State *,11,-,UC San Diego,1.0,1,3,0
"Sat, Sep 11",Sonoma State *,11,-,UC San Diego,1.0,1,3,0
"Wed, Sep 15",Cal State East Bay *,11,24,UC San Diego,0.0,1,2,3
"Fri, Sep 17",Cal State Monterey Bay *,11,-,Seaside,0.0,1,2,3
"Sat, Sep 18",San Francisco State *,11,-,San Francisco,0.0,1,2,3
"Fri, Sep 24",Chico State *,21,-,Chico,0.0,1,2,3
"Sat, Sep 25",Cal State Stanislaus *,21,-,Turlock,0.0,1,1,3
"Fri, Oct 01",Cal State L.A. *,-,23,UC San Diego,1.0,1,3,1
"Sat, Oct 02",Cal State Dominguez Hills *,-,-,UC San Diego,1.0,1,3,0
"Fri, Oct 08",Cal State San Bernardino *,-,4,UC San Diego,0.0,1,1,3
"Sat, Oct 09",Cal Poly Pomona *,-,-,UC San Diego,1.0,1,3,1
"Fri, Oct 15",Sonoma State *,-,-,Rohnert Park,1.0,1,3,2
"Sat, Oct 16",Humboldt State *,-,-,Arcata,1.0,1,3,1
"Fri, Oct 22",San Francisco State *,-,-,UC San Diego,1.0,1,3,1
"Sat, Oct 23",Cal State Monterey Bay *,-,-,UC San Diego,1.0,1,3,0
"Wed, Oct 27",Cal State East Bay *,-,22,Hayward,1.0,1,3,1
"Fri, Oct 29",Cal State Stanislaus *,-,-,UC San Diego,1.0,1,3,1
"Sat, Oct 30",Chico State *,-,-,UC San Diego,1.0,1,3,0
"Fri, Nov 05",Cal State Dominguez Hills *,-,-,Carson,1.0,1,3,0
"Sat, Nov 06",Cal State L.A. *,-,-,Los Angeles,1.0,1,3,2
"Fri, Nov 12",Cal Poly Pomona *,-,-,Pomona,1.0,1,3,2
"Sat, Nov 13",Cal State San Bernardino *,-,6,San Bernardino,0.0,1,0,3
"Thu, Nov 18",Sonoma State (quarterfinal),-,-,San Bernardino,1.0,0,3,0
"Fri, Nov 19",Cal State San Bernardino (semifinal),-,6,San Bernardino,0.0,0,0,3
