Date,Opponent,UCSD Rank,Opp Rank,Location,Time (PST),Results,Won,Conference
"Mon, Feb 01",Azusa Pacific,-,-,Azusa,4:00 p.m.,6 - 1 (W) STATS NOTES,1.0,0
"Mon, Feb 01",Azusa Pacific,-,-,Azusa,6:00 p.m.,5 - 8 (L) STATS NOTES,0.0,0
"Fri, Feb 05",Metro State,-,-,UC San Diego,2:30 p.m.,7 - 2 (W) STATS NOTES,1.0,0
"Fri, Feb 05",Western Oregon,-,-,UC San Diego,5:00 p.m.,6 - 0 (W) STATS NOTES,1.0,0
"Sat, Feb 06",Metro State,-,-,UC San Diego,10:00 a.m.,5 - 1 (W) STATS NOTES,1.0,0
"Sat, Feb 06",Western Oregon,-,-,UC San Diego,12:30 p.m.,3 - 2 (W) STATS NOTES,1.0,0
"Fri, Feb 12",Stanislaus State *,-,-,UC San Diego,1:00 p.m.,17 - 0 (W) (5) STATS NOTES,1.0,1
"Fri, Feb 12",Stanislaus State *,-,-,UC San Diego,3:00 p.m.,5 - 4 (W) (8) STATS NOTES,1.0,1
"Sat, Feb 13",Stanislaus State *,-,-,UC San Diego,11:00 a.m.,8 - 4 (W) STATS NOTES,1.0,1
"Sat, Feb 13",Stanislaus State *,-,-,UC San Diego,1:00 p.m.,11 - 2 (W) (5) STATS NOTES,1.0,1
"Mon, Feb 15",Adelphi,-,7,UC San Diego,1:00 p.m.,6 - 7 (L) STATS NOTES,0.0,0
"Mon, Feb 15",Adelphi,-,7,UC San Diego,3:00 p.m.,13 - 0 (W) (5) STATS NOTES,1.0,0
"Fri, Feb 19",Cal State Dominguez Hills *,-,-,Carson,12:00 p.m.,5 - 1 (W) STATS NOTES,1.0,1
"Fri, Feb 19",Cal State Dominguez Hills *,-,-,Carson,2:00 p.m.,11 - 5 (W) STATS NOTES,1.0,1
"Sat, Feb 20",Cal State Dominguez Hills *,-,-,Carson,12:00 p.m.,5 - 6 (L) (8) STATS NOTES,0.0,1
"Sat, Feb 20",Cal State Dominguez Hills *,-,-,Carson,2:00 p.m.,7 - 1 (W) STATS NOTES,1.0,1
"Fri, Feb 26",Chico State *,17,-,UC San Diego,1:00 p.m.,1 - 4 (L) STATS NOTES,0.0,1
"Fri, Feb 26",Chico State *,17,-,UC San Diego,3:00 p.m.,1 - 2 (L) STATS NOTES,0.0,1
"Sat, Feb 27",Chico State *,17,-,UC San Diego,11:00 a.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 27",Chico State *,17,-,UC San Diego,1:00 p.m.,2 - 1 (W) STATS NOTES,1.0,1
"Thu, Mar 10",Sonoma State *,23,-,UC San Diego,4:00 p.m.,1 - 3 (L) STATS NOTES,0.0,1
"Thu, Mar 10",Sonoma State *,23,-,UC San Diego,6:00 p.m.,3 - 2 (W) (8) STATS NOTES,1.0,1
"Fri, Mar 11",Sonoma State *,23,-,UC San Diego,11:00 a.m.,3 - 2 (W) STATS NOTES,1.0,1
"Fri, Mar 11",Sonoma State *,23,-,UC San Diego,1:00 p.m.,2 - 1 (W) STATS NOTES,1.0,1
"Mon, Mar 21",Cal State Monterey Bay *,25,-,Seaside,11:00 a.m.,0 - 8 (L) (5) STATS NOTES,0.0,1
"Mon, Mar 21",Cal State Monterey Bay *,25,-,Seaside,1:00 p.m.,11 - 2 (W) STATS NOTES,1.0,1
"Tue, Mar 22",Cal State Monterey Bay *,25,-,Seaside,11:00 a.m.,2 - 6 (L) STATS NOTES,0.0,1
"Tue, Mar 22",Cal State Monterey Bay *,25,-,Seaside,1:00 p.m.,1 - 9 (L) (5) STATS NOTES,0.0,1
"Fri, Mar 25",Cal State East Bay *,25,-,UC San Diego,1:00 p.m.,2 - 0 (W) STATS NOTES,1.0,1
"Fri, Mar 25",Cal State East Bay *,25,-,UC San Diego,3:00 p.m.,4 - 3 (W) STATS NOTES,1.0,1
"Sat, Mar 26",Cal State East Bay *,25,-,UC San Diego,11:00 a.m.,0 - 1 (L) STATS NOTES,0.0,1
"Sat, Mar 26",Cal State East Bay *,25,-,UC San Diego,1:00 p.m.,1 - 13 (L) STATS NOTES,0.0,1
"Thu, Mar 31",Humboldt State *,-,3,Modesto,11:00 a.m.,4 - 5 (L) (10) STATS NOTES,0.0,1
"Thu, Mar 31",Humboldt State *,-,3,Modesto,1:00 p.m.,6 - 5 (W) STATS NOTES,1.0,1
"Fri, Apr 01",Saint Martin's,-,-,Turlock,9:00 a.m.,6 - 12 (L) STATS NOTES,0.0,0
"Fri, Apr 01",Western Washington,-,-,Turlock,11:30 a.m.,4 - 5 (L) STATS NOTES,0.0,0
"Sat, Apr 02",MSU Billings,-,-,Turlock,9:00 a.m.,5 - 4 (W) STATS NOTES,1.0,0
"Sat, Apr 02",Northwest Nazarene,-,-,Turlock,2:00 p.m.,8 - 5 (W) STATS NOTES,1.0,0
"Sun, Apr 03",Concordia (Ore.),-,-,Turlock,9:00 a.m.,7 - 3 (W) STATS NOTES,1.0,0
"Sun, Apr 03",Central Washington,-,-,Turlock,2:00 p.m.,3 - 1 (W) STATS NOTES,1.0,0
"Fri, Apr 08",SF State *,-,-,San Francisco,11:00 a.m.,0 - 2 (L) STATS NOTES,0.0,1
"Fri, Apr 08",SF State *,-,-,San Francisco,1:00 p.m.,6 - 5 (W) STATS NOTES,1.0,1
"Sun, Apr 10",SF State *,-,-,San Francisco,10:00 a.m.,6 - 0 (W) STATS NOTES,1.0,1
"Sun, Apr 10",SF State *,-,-,San Francisco,12:00 p.m.,5 - 2 (W) (5) STATS NOTES,1.0,1
"Tue, Apr 12",Cal State San Marcos *,-,-,San Marcos,1:00 p.m.,1 - 2 (L) STATS NOTES,0.0,1
"Tue, Apr 12",Cal State San Marcos *,-,-,San Marcos,3:00 p.m.,4 - 3 (W) STATS NOTES,1.0,1
"Fri, Apr 15",Cal State San Bernardino *,-,-,UC San Diego,1:00 p.m.,2 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 15",Cal State San Bernardino *,-,-,UC San Diego,3:00 p.m.,8 - 3 (W) STATS NOTES,1.0,1
"Sat, Apr 16",Cal State San Bernardino *,-,-,UC San Diego,12:00 p.m.,13 - 3 (W) (5) STATS NOTES,1.0,1
"Sat, Apr 16",Cal State San Bernardino *,-,-,UC San Diego,2:00 p.m.,0 - 4 (L) STATS NOTES,0.0,1
"Wed, Apr 20",Cal State San Marcos *,-,-,San Marcos,1:00 p.m.,4 - 3 (W) (8) STATS NOTES,1.0,1
"Wed, Apr 20",Cal State San Marcos *,-,-,San Marcos,3:00 p.m.,5 - 2 (W) STATS NOTES,1.0,1
"Fri, Apr 29",Humboldt State,-,3,Stockton (Arnaiz Stadium),3:00 p.m.,6 - 4 (W) STATS NOTES,1.0,0
"Sat, Apr 30",Chico State,-,14,Stockton (Arnaiz Stadium),12:00 p.m.,7 - 5 (W) STATS NOTES,1.0,0
"Sun, May 01",Chico State,-,14,Stockton (Arnaiz Stadium),10:00 a.m.,5 - 2 (W) STATS NOTES,1.0,0
"Thu, May 05 - Sun, May 08",NCAA Regionals,-,-,TBD,TBA,,,0
"Fri, May 13 - Sat, May 14",NCAA Super Regionals,-,-,TBD,TBA,,,0
"Tue, May 17 - Sat, May 21",NCAA Championship,-,-,"Denver, CO",TBA,,,0
