Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Sun, Jan 07",Thompson Rivers University (Exhibition),-,UC San Diego,0 - 3 (L) STATS,0.0,0
"Fri, Jan 12",Long Beach State*,10,Long Beach,0 - 3 (L) STATS,0.0,1
"Thu, Jan 18",Pepperdine*,4,Malibu,1 - 3 (L) STATS,0.0,1
"Fri, Jan 19",USC*,14,Los Angeles,3 - 1 (W) STATS,1.0,1
"Tue, Jan 23",Hope International,-,UC San Diego,3 - 0 (W) STATS,1.0,0
"Fri, Jan 26",Cal State Northridge*,10,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Jan 27",UC Santa Barbara*,4,UC San Diego,0 - 3 (L) STATS,0.0,1
"Wed, Jan 31",Princeton,-,UC San Diego,3 - 1 (W) STATS,1.0,0
"Fri, Feb 02",Pacific*,14,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Feb 03",Stanford*,-,UC San Diego,2 - 3 (L) STATS,0.0,1
"Fri, Feb 09",Springfield College,-,"Springfield, MA",0 - 3 (L) STATS,0.0,0
"Sat, Feb 10",Rutgers-Newark,-,"Springfield, MA",3 - 1 (W) STATS,1.0,0
"Thu, Feb 15",UC Santa Barbara*,3,Santa Barbara,0 - 3 (L) STATS,0.0,1
"Fri, Feb 16",Cal State Northridge*,9,Northridge,0 - 3 (L) STATS,0.0,1
"Tue, Feb 20",Cal Baptist,-,Riverside,1 - 3 (L) STATS,0.0,0
"Sat, Feb 24",Long Beach State*,13,UC San Diego,3 - 2 (W) STATS,1.0,1
"Wed, Feb 28",UC Irvine*,2,Irvine,0 - 3 (L) STATS,0.0,1
"Fri, Mar 02",UCLA*,5,Los Angeles,0 - 3 (L) STATS,0.0,1
"Wed, Mar 07",Lewis,-,UC San Diego,2 - 3 (L) STATS,0.0,0
"Fri, Mar 09",Pacific*,8,Stockton,0 - 3 (L) STATS,0.0,1
"Sat, Mar 10",Stanford*,-,Stanford,0 - 3 (L) STATS,0.0,1
"Fri, Mar 16",USC*,13,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Mar 17",Pepperdine*,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Thu, Mar 29",Hawai'i*,13,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Mar 30",Hawai'i*,13,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Apr 06",BYU*,3,"Provo, UT",1 - 3 (L) STATS,0.0,1
"Sat, Apr 07",BYU*,3,"Provo, UT",0 - 3 (L) STATS,0.0,1
"Fri, Apr 13",UCLA*,4,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Apr 14",UC Irvine*,3,UC San Diego,0 - 3 (L) STATS,0.0,1
