Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Jan 09",Hope International,-,-,UC San Diego,3 - 0 (W) STATS,1.0,0
"Tue, Jan 13",Cal Baptist,-,-,Riverside,2 - 3 (L) STATS,0.0,0
"Fri, Jan 16",Long Beach State *,-,7,Long Beach,0 - 3 (L) STATS,0.0,1
"Wed, Jan 21",UC Irvine *,-,5,Irvine,0 - 3 (L) STATS,0.0,1
"Fri, Jan 23",UCLA *,-,8,Los Angeles,0 - 3 (L) STATS,0.0,1
"Wed, Jan 28",Princeton,-,-,UC San Diego,3 - 0 (W) STATS,1.0,0
"Fri, Jan 30",Pacific *,-,-,Stockton,3 - 0 (W) STATS,1.0,1
"Sat, Jan 31",Stanford *,-,6,Stanford,1 - 3 (L) STATS,0.0,1
"Fri, Feb 06",UC Santa Barbara *,15,10,Santa Barbara,3 - 2 (W),1.0,1
"Sat, Feb 07",Cal State Northridge *,15,4,Northridge,0 - 3 (L) STATS,0.0,1
"Fri, Feb 13",St. Francis,13,-,"Springfield, MA",3 - 1 (W) STATS,1.0,0
"Sat, Feb 14",George Mason,13,11,"Springfield, MA",3 - 0 (W) STATS,1.0,0
"Fri, Feb 20",BYU *,10,9,"Provo, UT",0 - 3 (L) STATS,0.0,1
"Sat, Feb 21",BYU *,10,9,"Provo, UT",0 - 3 (L) STATS,0.0,1
"Wed, Feb 25",UC Irvine *,12,2,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Feb 28",UCLA *,12,9,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Mar 06",USC *,10,5,UC San Diego,3 - 1 (W) STATS,1.0,1
"Sat, Mar 07",Pepperdine *,10,3,UC San Diego,2 - 3 (L) STATS,0.0,1
"Fri, Mar 13",Hawaii *,8,12,UC San Diego,3 - 1 (W) STATS,1.0,1
"Sat, Mar 14",Hawaii *,8,12,UC San Diego,3 - 2 (W) STATS,1.0,1
"Thu, Mar 26",Pepperdine *,9,3,Malibu,0 - 3 (L) STATS,0.0,1
"Sat, Mar 28",USC *,9,4,Los Angeles,0 - 3 (L) STATS,0.0,1
"Fri, Apr 03",Pacific *,10,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sat, Apr 04",Stanford *,10,5,UC San Diego,1 - 3 (L) STATS,0.0,1
"Fri, Apr 10",Cal State Northridge *,10,3,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Apr 11",UC Santa Barbara *,10,13,UC San Diego,3 - 2 (W) STATS,1.0,1
"Fri, Apr 17",Long Beach State *,10,8,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Apr 18",Grand Canyon,10,-,UC San Diego,3 - 0 (W) STATS,1.0,0
