Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Thu, Aug 25",Point Loma Nazarene (exhibition),24,-,San Diego,,0,3,1
"Thu, Sep 01",Hawaii Pacific,24,-,"Honolulu, Hawaii",1.0,0,3,1
"Fri, Sep 02",Seattle Pacific,24,13,"Honolulu, Hawaii",1.0,0,3,0
"Sat, Sep 03",Northwest Nazarene,24,-,"Honolulu, Hawai'i",1.0,0,3,1
"Sat, Sep 03",Chaminade,24,-,"Honolulu, Hawai'i",1.0,0,3,0
"Fri, Sep 09",Cal Poly Pomona *,15,-,UC San Diego,1.0,1,3,0
"Sun, Sep 11",San Francisco State *,15,-,UC San Diego,1.0,1,3,0
"Fri, Sep 16",Cal State Dominguez Hills *,12,-,Carson,1.0,1,3,0
"Sat, Sep 17",Cal State L.A. *,12,-,Los Angeles,1.0,1,3,1
"Fri, Sep 23",Cal State Stanislaus *,T-10,-,UC San Diego,1.0,1,3,0
"Sat, Sep 24",Chico State *,T-10,-,UC San Diego,0.0,1,2,3
"Fri, Sep 30",Humboldt State *,12,-,Arcata,1.0,1,3,0
"Sat, Oct 01",Sonoma State *,12,-,Rohnert Park,0.0,1,1,3
"Wed, Oct 05",Cal State San Bernardino *,16,3,UC San Diego,0.0,1,1,3
"Fri, Oct 07",Cal State Monterey Bay *,16,-,Seaside,0.0,1,1,3
"Sat, Oct 08",Cal State East Bay *,16,-,Hayward,1.0,1,3,2
"Fri, Oct 14",San Francisco State *,18,-,San Francisco,1.0,1,3,2
"Sat, Oct 15",Cal Poly Pomona *,18,-,Pomona,1.0,1,3,1
"Fri, Oct 21",Cal State L.A. *,18,-,UC San Diego,1.0,1,3,0
"Sat, Oct 22",Cal State Dominguez Hills *,18,-,UC San Diego,1.0,1,3,0
"Fri, Oct 28",Chico State *,18,RV,Chico,1.0,1,3,1
"Sat, Oct 29",Cal State Stanislaus *,18,-,Turlock,1.0,1,3,2
"Fri, Nov 04",Sonoma State *,17,23,UC San Diego,1.0,1,3,0
"Sat, Nov 05",Humboldt State *,17,-,UC San Diego,1.0,1,3,0
"Wed, Nov 09",Cal State San Bernardino *,15,1,San Bernardino,0.0,1,0,3
"Fri, Nov 11",Cal State East Bay *,15,-,UC San Diego,1.0,1,3,1
"Sat, Nov 12",Cal State Monterey Bay *,15,-,UC San Diego,1.0,1,3,0
"Thu, Nov 17",Grand Canyon,15,-,San Bernardino,1.0,0,3,0
"Fri, Nov 18",Sonoma State,15,23,San Bernardino,0.0,0,1,3
