Date,Opponent,Opp Rank,Location,Time (PST),Results,Won,Conference
"Fri, Jan 08",Charleston,-,UC San Diego,7:00 p.m.,3 - 0 (W) STATS NOTES,1.0,0
"Sat, Jan 09",Grand Canyon,-,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,0
"Fri, Jan 15",UC Santa Barbara *,8,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Jan 16",UCLA *,2,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Jan 20",Pepperdine *,11,Malibu,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Jan 22",Stanford *,8,Stanford (Burnham Pavilion),7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Jan 23",Holy Names,-,Oakland,5:00 p.m.,3 - 0 (W) STATS NOTES,1.0,0
"Wed, Jan 27",Princeton,-,UC San Diego,6:00 p.m.,3 - 2 (W) STATS NOTES,1.0,0
"Fri, Jan 29",Hawai'i *,5,"Honolulu, HI",9:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sun, Jan 31",Hawai'i *,5,"Honolulu, HI",7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 05",California Baptist *,-,UC San Diego,7:00 p.m.,1 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 06",USC *,RV,UC San Diego,7:00 p.m.,1 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 12",UC Santa Barbara *,10,Santa Barbara (Rob Gym),7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 13",UCLA *,2,Los Angeles (John Wooden Center),7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Feb 17",Long Beach State *,1,Long Beach,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 19",CSUN *,13,Northridge,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 20",Holy Names,-,UC San Diego,5:00 p.m.,3 - 0 (W) STATS NOTES,1.0,0
"Thu, Feb 25",Stanford *,3,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Mar 02",Pepperdine *,10,UC San Diego,7:00 p.m.,2 - 3 (L) STATS NOTES,0.0,1
"Fri, Mar 04",UC Irvine *,14,Irvine,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Mar 05",UC Irvine *,14,UC San Diego,7:00 p.m.,2 - 3 (L) STATS NOTES,0.0,1
"Thu, Mar 10",Concordia,-,Irvine,7:00 p.m.,3 - 0 (W) STATS NOTES,1.0,0
"Fri, Mar 25",BYU *,3,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Mar 26",BYU *,3,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 01",California Baptist *,RV,Riverside,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 02",USC *,-,Los Angeles,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 08",Long Beach State *,5,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 09",CSUN *,10,UC San Diego,7:00 p.m.,0 - 3 (L) STATS NOTES,0.0,1
