Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Fri, Aug 29",Concordia-St. Paul,22,1,San Bernardino,0.0,0,1,3
"Sat, Aug 30",Lewis,22,15,San Bernardino,1.0,0,3,1
"Sat, Aug 30",Shippensburg,22,-,San Bernardino,1.0,0,3,1
"Thu, Sep 04",Notre Dame de Namur,17,-,UC San Diego,1.0,0,3,0
"Fri, Sep 05",Lynn,17,-,UC San Diego,1.0,0,3,1
"Fri, Sep 05",BYU-Hawaii,17,24,UC San Diego,1.0,0,3,1
"Sat, Sep 06",Seattle Pacific,17,-,UC San Diego,1.0,0,3,1
"Fri, Sep 12",Cal State L.A. *,15,21,UC San Diego,0.0,1,0,3
"Sat, Sep 13",Cal State Dominguez Hills *,15,-,UC San Diego,1.0,1,3,0
"Fri, Sep 19",Cal State Monterey Bay *,18,-,Monterey,1.0,1,3,0
"Sat, Sep 20",San Francisco State *,18,-,San Francisco,1.0,1,3,0
"Fri, Sep 26",Cal State San Bernardino *,16,1,UC San Diego,1.0,1,3,2
"Sat, Sep 27",Cal Poly Pomona *,16,20,UC San Diego,1.0,1,3,2
"Fri, Oct 03",Chico State *,12,-,Chico,0.0,1,2,3
"Sat, Oct 04",Cal State Stanislaus *,12,-,Turlock,1.0,1,3,1
"Fri, Oct 10",Sonoma State *,15,-,UC San Diego,1.0,1,3,0
"Sat, Oct 11",Humboldt State *,15,-,UC San Diego,1.0,1,3,1
"Thu, Oct 16",Cal State Dominguez Hills *,13,-,Carson,1.0,1,3,0
"Fri, Oct 17",Cal State L.A. *,13,19,Los Angeles,0.0,1,2,3
"Fri, Oct 24",San Francisco State *,16,-,UC San Diego,1.0,1,3,2
"Sat, Oct 25",Cal State Monterey Bay *,16,-,UC San Diego,1.0,1,3,0
"Fri, Oct 31",Cal Poly Pomona *,15,20,Pomona,1.0,1,3,2
"Sat, Nov 01",Cal State San Bernardino *,15,2,San Bernardino,0.0,1,0,3
"Thu, Nov 06",Cal State Stanislaus *,12,-,UC San Diego,1.0,1,3,0
"Fri, Nov 07",Chico State *,12,-,UC San Diego,1.0,1,3,0
"Fri, Nov 14",Humboldt State *,11,-,Arcata,1.0,1,3,1
"Sat, Nov 15",Sonoma State *,11,-,Sonoma,0.0,1,2,3
"Thu, Nov 20",Cal State L.A.,12,21,San Bernardino,0.0,0,2,3
