Year,SD points,Opp,Difference,Wins
2005,3,4,-1,0
2005,1,9,-8,0
2005,8,6,2,1
2005,8,3,5,1
2005,2,1,1,1
2005,10,13,-3,0
2005,2,3,-1,0
2005,11,7,4,1
2005,7,6,1,1
2005,4,5,-1,0
2005,14,8,6,1
2005,7,6,1,1
2005,2,4,-2,0
2005,5,1,4,1
2005,15,4,11,1
2005,4,1,3,1
2005,1,18,-17,0
2005,5,3,2,1
2005,1,13,-12,0
2005,0,10,-10,0
2005,4,3,1,1
2005,10,7,3,1
2005,6,1,5,1
2005,3,12,-9,0
2005,10,11,-1,0
2005,3,4,-1,0
2005,8,5,3,1
2005,1,6,-5,0
2005,13,9,4,1
2005,9,7,2,1
2005,5,3,2,1
2005,11,2,9,1
2005,5,4,1,1
2005,9,2,7,1
2005,10,1,9,1
2005,9,6,3,1
2006,3,4,-1,0
2006,2,1,1,1
2006,12,4,8,1
2006,5,0,5,1
2006,2,4,-2,0
2006,1,6,-5,0
2006,5,3,2,1
2006,0,2,-2,0
2006,10,3,7,1
2006,7,2,5,1
2006,4,1,3,1
2006,6,5,1,1
2006,9,6,3,1
2006,13,7,6,1
2006,9,2,7,1
2006,3,4,-1,0
2007,13,5,8,1
2007,10,5,5,1
2007,12,11,1,1
2007,10,5,5,1
2007,3,2,1,1
2007,6,4,2,1
2007,2,0,2,1
2007,2,5,-3,0
2007,6,2,4,1
2007,2,1,1,1
2007,2,6,-4,0
2007,9,0,9,1
2007,7,6,1,1
2007,3,13,-10,0
2007,11,16,-5,0
2007,3,2,1,1
2007,9,6,3,1
2007,0,7,-7,0
2007,5,2,3,1
2007,13,2,11,1
2007,17,9,8,1
2007,7,11,-4,0
2007,5,4,1,1
2007,5,4,1,1
2007,7,4,3,1
2007,2,13,-11,0
2007,6,9,-3,0
2007,5,4,1,1
2007,16,7,9,1
2007,9,1,8,1
2007,5,3,2,1
2007,8,11,-3,0
2007,4,0,4,1
2007,11,1,10,1
2007,4,8,-4,0
2007,16,17,-1,0
2008,3,1,2,1
2008,7,1,6,1
2008,5,2,3,1
2008,4,3,1,1
2008,11,1,10,1
2008,13,2,11,1
2008,10,5,5,1
2008,6,16,-10,0
2008,1,2,-1,0
2008,2,3,-1,0
2008,3,2,1,1
2008,3,2,1,1
2008,8,3,5,1
2008,6,0,6,1
2008,6,5,1,1
2008,10,3,7,1
2008,12,2,10,1
2008,10,2,8,1
2008,8,7,1,1
2008,19,8,11,1
2008,10,8,2,1
2008,5,3,2,1
2008,6,8,-2,0
2008,8,3,5,1
2008,6,1,5,1
2008,5,8,-3,0
2008,1,5,-4,0
2008,1,4,-3,0
2008,13,1,12,1
2008,10,4,6,1
